Gene	Synonym	ENSG	Description	expression
ATP5F1A	"ATP5A, ATP5A1, ATP5AL2, ATPM, hATP1, OMR, ORM"	ENSG00000152234	ATP synthase F1 subunit alpha	LowTissSpecExpdInBrain
ATP5F1B	"ATP5B, ATPSB"	ENSG00000110955	ATP synthase F1 subunit beta	LowTissSpecExpdInBrain
ATP5F1C	"ATP5C, ATP5C1, ATP5CL1"	ENSG00000165629	ATP synthase F1 subunit gamma	LowTissSpecExpdInBrain
ATP5F1E	ATP5E	ENSG00000124172	ATP synthase F1 subunit epsilon	LowTissSpecExpdInBrain
ATP5IF1	"ATPI, ATPIF1, ATPIP, IP, MGC1167, MGC8898"	ENSG00000130770	ATP synthase inhibitory factor subunit 1	LowTissSpecExpdInBrain
ATP5MC2	ATP5G2	ENSG00000135390	ATP synthase membrane subunit c locus 2	LowTissSpecExpdInBrain
ATP5MD	"bA792D24.4, DAPIT, MGC14697, USMG5"	ENSG00000173915	ATP synthase membrane subunit DAPIT	LowTissSpecExpdInBrain
ATP5MF	"ATP5J2, ATP5JL"	ENSG00000241468	ATP synthase membrane subunit f	LowTissSpecExpdInBrain
ATP5MF-PTCD1	ATP5J2-PTCD1	ENSG00000248919	ATP5MF-PTCD1 readthrough	LowTissSpecExpdInBrain
ATP5MG	"ATP5JG, ATP5L"	ENSG00000167283	ATP synthase membrane subunit g	LowTissSpecExpdInBrain
ATP5MPL	"6.8PL, C14orf2, MLQ, MP68"	ENSG00000156411	ATP synthase membrane subunit 6.8PL	LowTissSpecExpdInBrain
ATP5PD	"ATP5H, ATP5JD, ATPQ"	ENSG00000167863	ATP synthase peripheral stalk subunit d	LowTissSpecExpdInBrain
ATP5PF	"ATP5, ATP5A, ATP5J, ATPM, CF6"	ENSG00000154723	ATP synthase peripheral stalk subunit F6	LowTissSpecExpdInBrain
ATP5PO	"ATP5O, ATPO, OSCP"	ENSG00000241837	ATP synthase peripheral stalk subunit OSCP	LowTissSpecExpdInBrain
ATP5S	"ATPW, HSU79253"	ENSG00000125375	"ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)"	LowTissSpecExpdInBrain
ATP6AP1	"16A, Ac45, ATP6IP1, ATP6S1, CF2, ORF, VATPS1, XAP-3, XAP3"	ENSG00000071553	ATPase H+ transporting accessory protein 1	LowTissSpecExpdInBrain
ATP6AP1L		ENSG00000205464	ATPase H+ transporting accessory protein 1 like	LowTissSpecExpdInBrain
ATP6V0A2	"a2, ATP6a2, ATP6N1D, J6B7, Stv1, TJ6, TJ6M, TJ6s, Vph1"	ENSG00000185344	ATPase H+ transporting V0 subunit a2	LowTissSpecExpdInBrain
ATP6V0C	"ATP6C, ATP6L, ATPL, VATL, Vma3"	ENSG00000185883	ATPase H+ transporting V0 subunit c	LowTissSpecExpdInBrain
ATP6V0D1	"ATP6D, ATP6DV, P39, VATX, Vma6, VPATPD"	ENSG00000159720	ATPase H+ transporting V0 subunit d1	LowTissSpecExpdInBrain
ATP6V0E1	"ATP6H, ATP6V0E, M9.2"	ENSG00000113732	ATPase H+ transporting V0 subunit e1	LowTissSpecExpdInBrain
ATP6V1A	"ATP6A1, ATP6V1A1, VA68, Vma1, VPP2"	ENSG00000114573	ATPase H+ transporting V1 subunit A	LowTissSpecExpdInBrain
ATP6V1C1	"ATP6C, ATP6D, VATC, Vma5"	ENSG00000155097	ATPase H+ transporting V1 subunit C1	LowTissSpecExpdInBrain
ATP6V1D	"ATP6M, VATD, VMA8"	ENSG00000100554	ATPase H+ transporting V1 subunit D	LowTissSpecExpdInBrain
ATP6V1E1	"ATP6E, ATP6E2, ATP6V1E, P31, Vma4"	ENSG00000131100	ATPase H+ transporting V1 subunit E1	LowTissSpecExpdInBrain
ATP6V1F	"ATP6S14, VATF, Vma7"	ENSG00000128524	ATPase H+ transporting V1 subunit F	LowTissSpecExpdInBrain
ATP6V1G1	"ATP6G, ATP6G1, ATP6GL, ATP6J, DKFZp547P234, Vma10"	ENSG00000136888	ATPase H+ transporting V1 subunit G1	LowTissSpecExpdInBrain
ATP6V1H	"CGI-11, SFD, SFDalpha, SFDbeta, VMA13"	ENSG00000047249	ATPase H+ transporting V1 subunit H	LowTissSpecExpdInBrain
ATP7A	MNK	ENSG00000165240	ATPase copper transporting alpha	LowTissSpecExpdInBrain
ATP8B2	"ATPID, KIAA1137"	ENSG00000143515	ATPase phospholipid transporting 8B2	LowTissSpecExpdInBrain
ATP9B	ATPIIB	ENSG00000166377	ATPase phospholipid transporting 9B (putative)	LowTissSpecExpdInBrain
ATPAF2	"ATP12, Atp12p, LP3663, MGC29736"	ENSG00000171953	ATP synthase mitochondrial F1 complex assembly factor 2	LowTissSpecExpdInBrain
ATR	"FRP1, MEC1, SCKL, SCKL1"	ENSG00000175054	ATR serine/threonine kinase	LowTissSpecExpdInBrain
ATRAID	"APR3, C2orf28, HSPC013, p18"	ENSG00000138085	All-trans retinoic acid induced differentiation factor	LowTissSpecExpdInBrain
ATRN	"DPPT-L, MGCA"	ENSG00000088812	Attractin	LowTissSpecExpdInBrain
ATRX	"JMS, MRX52, RAD54, XH2, XNP"	ENSG00000085224	"ATRX, chromatin remodeler"	LowTissSpecExpdInBrain
ATXN1	"ATX1, D6S504E, SCA1"	ENSG00000124788	Ataxin 1	LowTissSpecExpdInBrain
ATXN10	"E46L, FLJ37990, SCA10"	ENSG00000130638	Ataxin 10	LowTissSpecExpdInBrain
ATXN1L	BOAT1	ENSG00000224470	Ataxin 1 like	LowTissSpecExpdInBrain
ATXN2	"ATX2, SCA2, TNRC13"	ENSG00000204842	Ataxin 2	LowTissSpecExpdInBrain
ATXN2L	"A2D, A2lp"	ENSG00000168488	Ataxin 2 like	LowTissSpecExpdInBrain
ATXN3	"ATX3, JOS, MJD, SCA3"	ENSG00000066427	Ataxin 3	LowTissSpecExpdInBrain
ATXN7L1	"ATXN7L4, KIAA1218, MGC33190"	ENSG00000146776	Ataxin 7 like 1	LowTissSpecExpdInBrain
ATXN7L2	"FLJ00381, MGC46534"	ENSG00000162650	Ataxin 7 like 2	LowTissSpecExpdInBrain
ATXN7L3	DKFZp761G2113	ENSG00000087152	Ataxin 7 like 3	LowTissSpecExpdInBrain
ATXN7L3B	lnc-SCA7	ENSG00000253719	Ataxin 7 like 3B	LowTissSpecExpdInBrain
AUH		ENSG00000148090	AU RNA binding methylglutaconyl-CoA hydratase	LowTissSpecExpdInBrain
AUP1		ENSG00000115307	"AUP1, lipid droplet regulating VLDL assembly factor"	LowTissSpecExpdInBrain
AURKAIP1	"AIP, AKIP, FLJ20608"	ENSG00000175756	Aurora kinase A interacting protein 1	LowTissSpecExpdInBrain
AUTS2	"FBRSL2, KIAA0442"	ENSG00000158321	"AUTS2, activator of transcription and developmental regulator"	LowTissSpecExpdInBrain
AVEN	PDCD12	ENSG00000169857	Apoptosis and caspase activation inhibitor	LowTissSpecExpdInBrain
AVL9	KIAA0241	ENSG00000105778	AVL9 cell migration associated	LowTissSpecExpdInBrain
AVPI1	"PP5395, VIP32, VIT32"	ENSG00000119986	Arginine vasopressin induced 1	LowTissSpecExpdInBrain
AXIN1	PPP1R49	ENSG00000103126	Axin 1	LowTissSpecExpdInBrain
AXIN2	"DKFZp781B0869, MGC126582"	ENSG00000168646	Axin 2	LowTissSpecExpdInBrain
AXL	"ARK, JTK11, Tyro7, UFO"	ENSG00000167601	AXL receptor tyrosine kinase	LowTissSpecExpdInBrain
AZI2	"AZ2, FLJ21939, NAP1"	ENSG00000163512	5-azacytidine induced 2	LowTissSpecExpdInBrain
AZIN1	"OAZI, OAZIN, ODC1L"	ENSG00000155096	Antizyme inhibitor 1	LowTissSpecExpdInBrain
B2M		ENSG00000166710	Beta-2-microglobulin	LowTissSpecExpdInBrain
B3GALT4	"beta3Gal-T4, GalT4"	ENSG00000235863	"Beta-1,3-galactosyltransferase 4"	LowTissSpecExpdInBrain
B3GALT6	beta3GalT6	ENSG00000176022	"Beta-1,3-galactosyltransferase 6"	LowTissSpecExpdInBrain
B3GAT3	GlcAT-I	ENSG00000149541	"Beta-1,3-glucuronyltransferase 3"	LowTissSpecExpdInBrain
B3GLCT	"B3GALTL, B3Glc-T, B3GTL"	ENSG00000187676	Beta 3-glucosyltransferase	LowTissSpecExpdInBrain
B3GNT10		ENSG00000214654	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 10 (putative)"	LowTissSpecExpdInBrain
B3GNT2	"B3GN-T1, B3GN-T2, B3GNT-2, B3GNT1, BETA3GNT"	ENSG00000170340	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2"	LowTissSpecExpdInBrain
B3GNT9	MGC4655	ENSG00000237172	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9"	LowTissSpecExpdInBrain
B3GNTL1	B3GNT8	ENSG00000175711	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1"	LowTissSpecExpdInBrain
B4GALT1	"beta4Gal-T1, GGTB2"	ENSG00000086062	"Beta-1,4-galactosyltransferase 1"	LowTissSpecExpdInBrain
B4GALT2	beta4Gal-T2	ENSG00000117411	"Beta-1,4-galactosyltransferase 2"	LowTissSpecExpdInBrain
B4GALT3	beta4Gal-T3	ENSG00000158850	"Beta-1,4-galactosyltransferase 3"	LowTissSpecExpdInBrain
B4GALT4	beta4Gal-T4	ENSG00000121578	"Beta-1,4-galactosyltransferase 4"	LowTissSpecExpdInBrain
B4GALT5	beta4GalT-V	ENSG00000158470	"Beta-1,4-galactosyltransferase 5"	LowTissSpecExpdInBrain
B4GALT7	"beta4Gal-T7, XGALT-1"	ENSG00000027847	"Beta-1,4-galactosyltransferase 7"	LowTissSpecExpdInBrain
B9D1	"B9, EPPB9, MKS9"	ENSG00000108641	B9 domain containing 1	LowTissSpecExpdInBrain
BABAM1	"C19orf62, FLJ20571, HSPC142, MERIT40, NBA1"	ENSG00000105393	BRISC and BRCA1 A complex member 1	LowTissSpecExpdInBrain
BACE2	"AEPLC, ALP56, CEAP1, DRAP"	ENSG00000182240	Beta-site APP-cleaving enzyme 2	LowTissSpecExpdInBrain
BACH1	"BACH-1, BTBD24"	ENSG00000156273	BTB domain and CNC homolog 1	LowTissSpecExpdInBrain
BAD	"BBC2, BCL2L8"	ENSG00000002330	BCL2 associated agonist of cell death	LowTissSpecExpdInBrain
BAG1		ENSG00000107262	BCL2 associated athanogene 1	LowTissSpecExpdInBrain
BAG4	SODD	ENSG00000156735	BCL2 associated athanogene 4	LowTissSpecExpdInBrain
BAG6	"BAT3, D6S52E, G3"	ENSG00000204463	BCL2 associated athanogene 6	LowTissSpecExpdInBrain
BAHD1	KIAA0945	ENSG00000140320	Bromo adjacent homology domain containing 1	LowTissSpecExpdInBrain
BAIAP2	"BAP2, IRSp53"	ENSG00000175866	BAI1 associated protein 2	LowTissSpecExpdInBrain
BAIAP2L1	IRTKS	ENSG00000006453	BAI1 associated protein 2 like 1	LowTissSpecExpdInBrain
BAK1	"BAK, BCL2L7, CDN1"	ENSG00000030110	BCL2 antagonist/killer 1	LowTissSpecExpdInBrain
BANF1	BAF	ENSG00000175334	Barrier to autointegration factor 1	LowTissSpecExpdInBrain
BANP	"BEND1, DKFZp761H172, FLJ10177, FLJ20538, SMAR1, SMARBP1"	ENSG00000172530	BTG3 associated nuclear protein	LowTissSpecExpdInBrain
BAP1	"hucep-6, KIAA0272, UCHL2"	ENSG00000163930	BRCA1 associated protein 1	LowTissSpecExpdInBrain
BARD1		ENSG00000138376	BRCA1 associated RING domain 1	LowTissSpecExpdInBrain
BATF2	MGC20410	ENSG00000168062	Basic leucine zipper ATF-like transcription factor 2	LowTissSpecExpdInBrain
BAX	BCL2L4	ENSG00000087088	"BCL2 associated X, apoptosis regulator"	LowTissSpecExpdInBrain
BAZ1A	"ACF1, hACF1, WALp1, WCRF180"	ENSG00000198604	Bromodomain adjacent to zinc finger domain 1A	LowTissSpecExpdInBrain
BAZ1B	"WBSCR10, WBSCR9, WSTF"	ENSG00000009954	Bromodomain adjacent to zinc finger domain 1B	LowTissSpecExpdInBrain
BAZ2A	"KIAA0314, TIP5, WALp3"	ENSG00000076108	Bromodomain adjacent to zinc finger domain 2A	LowTissSpecExpdInBrain
BAZ2B	WALp4	ENSG00000123636	Bromodomain adjacent to zinc finger domain 2B	LowTissSpecExpdInBrain
BBC3	"JFY1, PUMA"	ENSG00000105327	BCL2 binding component 3	LowTissSpecExpdInBrain
BBS1	FLJ23590	ENSG00000174483	Bardet-Biedl syndrome 1	LowTissSpecExpdInBrain
BBS10	"C12orf58, FLJ23560"	ENSG00000179941	Bardet-Biedl syndrome 10	LowTissSpecExpdInBrain
BBS12	"C4orf24, FLJ35630, FLJ41559"	ENSG00000181004	Bardet-Biedl syndrome 12	LowTissSpecExpdInBrain
BBS2	BBS	ENSG00000125124	Bardet-Biedl syndrome 2	LowTissSpecExpdInBrain
BBS4		ENSG00000140463	Bardet-Biedl syndrome 4	LowTissSpecExpdInBrain
BBS5	DKFZp762I194	ENSG00000163093	Bardet-Biedl syndrome 5	LowTissSpecExpdInBrain
BBS7	"BBS2L1, FLJ10715"	ENSG00000138686	Bardet-Biedl syndrome 7	LowTissSpecExpdInBrain
BBS9	"B1, PTHB1"	ENSG00000122507	Bardet-Biedl syndrome 9	LowTissSpecExpdInBrain
BBX	"HBP2, HSPC339, MDS001"	ENSG00000114439	"BBX, HMG-box containing"	LowTissSpecExpdInBrain
BCAP29	"BAP29, DKFZp686M2086"	ENSG00000075790	B cell receptor associated protein 29	LowTissSpecExpdInBrain
BCAP31	"6C6-Ag, BAP31, CDM, DXS1357E"	ENSG00000185825	B cell receptor associated protein 31	LowTissSpecExpdInBrain
BCAR1	"CAS, CASS1, Crkas, P130Cas"	ENSG00000050820	"BCAR1, Cas family scaffolding protein"	LowTissSpecExpdInBrain
BCAS2	"DAM1, Snt309, SPF27"	ENSG00000116752	"BCAS2, pre-mRNA processing factor"	LowTissSpecExpdInBrain
BCAS3	FLJ20128	ENSG00000141376	"BCAS3, microtubule associated cell migration factor"	LowTissSpecExpdInBrain
BCAT2	"BCAM, BCT2"	ENSG00000105552	Branched chain amino acid transaminase 2	LowTissSpecExpdInBrain
BCDIN3D		ENSG00000186666	BCDIN3 domain containing RNA methyltransferase	LowTissSpecExpdInBrain
BCKDHA	"MSU, OVD1A"	ENSG00000248098	"Branched chain keto acid dehydrogenase E1, alpha polypeptide"	LowTissSpecExpdInBrain
BCKDK		ENSG00000103507	Branched chain ketoacid dehydrogenase kinase	LowTissSpecExpdInBrain
BCL10	"c-E10, CARMEN, CIPER, CLAP, mE10"	ENSG00000142867	B cell CLL/lymphoma 10	LowTissSpecExpdInBrain
BCL2	"Bcl-2, PPP1R50"	ENSG00000171791	"BCL2, apoptosis regulator"	LowTissSpecExpdInBrain
BCL2L1	"Bcl-X, bcl-xL, bcl-xS, BCL2L, BCLX, PPP1R52"	ENSG00000171552	BCL2 like 1	LowTissSpecExpdInBrain
BCL2L11	"BIM, BimEL, BimL, BimS, BOD"	ENSG00000153094	BCL2 like 11	LowTissSpecExpdInBrain
BCL2L12		ENSG00000126453	BCL2 like 12	LowTissSpecExpdInBrain
BCL2L13	"BCL-RAMBO, MIL1"	ENSG00000099968	BCL2 like 13	LowTissSpecExpdInBrain
BCL2L2	"BCL-W, KIAA0271, PPP1R51"	ENSG00000129473	BCL2 like 2	LowTissSpecExpdInBrain
BCL2L2-PABPN1		ENSG00000258643	BCL2L2-PABPN1 readthrough	LowTissSpecExpdInBrain
BCL3	"BCL4, D19S37"	ENSG00000069399	B cell CLL/lymphoma 3	LowTissSpecExpdInBrain
BCL6B	"BAZF, ZBTB28, ZNF62"	ENSG00000161940	B cell CLL/lymphoma 6B	LowTissSpecExpdInBrain
BCL7A	BCL7	ENSG00000110987	BCL tumor suppressor 7A	LowTissSpecExpdInBrain
BCL7B		ENSG00000106635	BCL tumor suppressor 7B	LowTissSpecExpdInBrain
BCL7C		ENSG00000099385	BCL tumor suppressor 7C	LowTissSpecExpdInBrain
BCL9		ENSG00000116128	B cell CLL/lymphoma 9	LowTissSpecExpdInBrain
BCL9L	DLNB11	ENSG00000186174	B cell CLL/lymphoma 9 like	LowTissSpecExpdInBrain
BCLAF1	"BTF, KIAA0164"	ENSG00000029363	BCL2 associated transcription factor 1	LowTissSpecExpdInBrain
BCLAF3	CXorf23	ENSG00000173681	BCLAF1 and THRAP3 family member 3	LowTissSpecExpdInBrain
BCOR	"FLJ20285, KIAA1575"	ENSG00000183337	BCL6 corepressor	LowTissSpecExpdInBrain
BCORL1	"CXorf10, FLJ11362"	ENSG00000085185	BCL6 corepressor like 1	LowTissSpecExpdInBrain
BCR	"ALL, BCR1, CML, D22S11, D22S662, PHL"	ENSG00000186716	"BCR, RhoGEF and GTPase activating protein"	LowTissSpecExpdInBrain
BCS1L	"BCS, BJS, h-BCS, Hs.6719"	ENSG00000074582	"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone"	LowTissSpecExpdInBrain
BDKRB2	BK-2	ENSG00000168398	Bradykinin receptor B2	LowTissSpecExpdInBrain
BDP1	"HSA238520, KIAA1241, KIAA1689, TAF3B1, TFC5, TFIIIB150, TFIIIB90, TFNR"	ENSG00000145734	"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB"	LowTissSpecExpdInBrain
BECN1	"ATG6, VPS30"	ENSG00000126581	Beclin 1	LowTissSpecExpdInBrain
BEND5	"C1orf165, FLJ11588"	ENSG00000162373	BEN domain containing 5	LowTissSpecExpdInBrain
BEND7	"C10orf30, FLJ40283"	ENSG00000165626	BEN domain containing 7	LowTissSpecExpdInBrain
BET1	hbet1	ENSG00000105829	Bet1 golgi vesicular membrane trafficking protein	LowTissSpecExpdInBrain
BET1L	"GOLIM3, GS15"	ENSG00000177951	Bet1 golgi vesicular membrane trafficking protein like	LowTissSpecExpdInBrain
BEX3	"Bex, DXS6984E, HGR74, NADE, NGFRAP1"	ENSG00000166681	Brain expressed X-linked 3	LowTissSpecExpdInBrain
BEX4	"BEXL1, FLJ10097"	ENSG00000102409	Brain expressed X-linked 4	LowTissSpecExpdInBrain
BFAR	"BAR, RNF47"	ENSG00000103429	Bifunctional apoptosis regulator	LowTissSpecExpdInBrain
BFSP1	"CP115, CP94, filensin, LIFL-H"	ENSG00000125864	Beaded filament structural protein 1	LowTissSpecExpdInBrain
BGN	"DSPG1, SLRR1A"	ENSG00000182492	Biglycan	LowTissSpecExpdInBrain
BHLHE40	"BHLHB2, bHLHe40, Clast5, DEC1, SHARP2, STRA13"	ENSG00000134107	Basic helix-loop-helix family member e40	LowTissSpecExpdInBrain
BICD2	KIAA0699	ENSG00000185963	BICD cargo adaptor 2	LowTissSpecExpdInBrain
BICRA	GLTSCR1	ENSG00000063169	BRD4 interacting chromatin remodeling complex associated protein	LowTissSpecExpdInBrain
BICRAL	"GLTSCR1L, KIAA0240"	ENSG00000112624	BRD4 interacting chromatin remodeling complex associated protein like	LowTissSpecExpdInBrain
BIN3		ENSG00000147439	Bridging integrator 3	LowTissSpecExpdInBrain
BIRC2	"API1, c-IAP1, cIAP1, hiap-2, MIHB, RNF48"	ENSG00000110330	Baculoviral IAP repeat containing 2	LowTissSpecExpdInBrain
BIRC6	BRUCE	ENSG00000115760	Baculoviral IAP repeat containing 6	LowTissSpecExpdInBrain
BIVM	FLJ20159	ENSG00000134897	"Basic, immunoglobulin-like variable motif containing"	LowTissSpecExpdInBrain
BLOC1S1	"BLOS1, BORCS1, GCN5L1"	ENSG00000135441	Biogenesis of lysosomal organelles complex 1 subunit 1	LowTissSpecExpdInBrain
BLOC1S2	"BLOS2, BORCS2, FLJ30135, MGC10120"	ENSG00000196072	Biogenesis of lysosomal organelles complex 1 subunit 2	LowTissSpecExpdInBrain
BLOC1S3	"BLOS3, HPS8"	ENSG00000189114	Biogenesis of lysosomal organelles complex 1 subunit 3	LowTissSpecExpdInBrain
BLOC1S4	"BCAS4L, CNO, FLJ11230"	ENSG00000186222	Biogenesis of lysosomal organelles complex 1 subunit 4	LowTissSpecExpdInBrain
BLOC1S5	"dJ303A1.3, MU, MUTED"	ENSG00000188428	Biogenesis of lysosomal organelles complex 1 subunit 5	LowTissSpecExpdInBrain
BLOC1S6	"HPS9, PA, PLDN"	ENSG00000104164	Biogenesis of lysosomal organelles complex 1 subunit 6	LowTissSpecExpdInBrain
BLVRA	BLVR	ENSG00000106605	Biliverdin reductase A	LowTissSpecExpdInBrain
BLZF1	JEM-1	ENSG00000117475	Basic leucine zipper nuclear factor 1	LowTissSpecExpdInBrain
BMI1	"PCGF4, RNF51"	ENSG00000168283	"BMI1 proto-oncogene, polycomb ring finger"	LowTissSpecExpdInBrain
BMP2	BMP2A	ENSG00000125845	Bone morphogenetic protein 2	LowTissSpecExpdInBrain
BMP2K	"BIKe, DKFZp434K0614"	ENSG00000138756	BMP2 inducible kinase	LowTissSpecExpdInBrain
BMPER	"CRIM3, Cv2"	ENSG00000164619	BMP binding endothelial regulator	LowTissSpecExpdInBrain
BMPR1A	"ACVRLK3, ALK3, CD292"	ENSG00000107779	Bone morphogenetic protein receptor type 1A	LowTissSpecExpdInBrain
BMPR2	"BMPR-II, BMPR3, BRK-3, PPH1, T-ALK"	ENSG00000204217	Bone morphogenetic protein receptor type 2	LowTissSpecExpdInBrain
BMS1	"BMS1L, KIAA0187"	ENSG00000165733	"BMS1, ribosome biogenesis factor"	LowTissSpecExpdInBrain
BMT2	"C7orf60, DKFZp762M126, FLJ31818"	ENSG00000164603	Base methyltransferase of 25S rRNA 2 homolog	LowTissSpecExpdInBrain
BNIP1	"Nip1, SEC20"	ENSG00000113734	BCL2 interacting protein 1	LowTissSpecExpdInBrain
BNIP2	"BNIP-2, Nip2"	ENSG00000140299	BCL2 interacting protein 2	LowTissSpecExpdInBrain
BNIP3L	"BNIP3a, Nix"	ENSG00000104765	BCL2 interacting protein 3 like	LowTissSpecExpdInBrain
BOC	CDON2	ENSG00000144857	"BOC cell adhesion associated, oncogene regulated"	LowTissSpecExpdInBrain
BOD1	FAM44B	ENSG00000145919	Biorientation of chromosomes in cell division 1	LowTissSpecExpdInBrain
BOD1L1	"BOD1L, FAM44A, FLJ33215, KIAA1327"	ENSG00000038219	Biorientation of chromosomes in cell division 1 like 1	LowTissSpecExpdInBrain
BOLA1	CGI-143	ENSG00000178096	BolA family member 1	LowTissSpecExpdInBrain
BOLA2-SMG1P6		ENSG00000261740	BOLA2-SMG1P6 readthrough	LowTissSpecExpdInBrain
BOLA3		ENSG00000163170	BolA family member 3	LowTissSpecExpdInBrain
BOP1	KIAA0124	ENSG00000261236	Block of proliferation 1	LowTissSpecExpdInBrain
BORCS5	"LOH12CR1, LOH1CR12"	ENSG00000165714	BLOC-1 related complex subunit 5	LowTissSpecExpdInBrain
BORCS7	"C10orf32, FLJ40752"	ENSG00000166275	BLOC-1 related complex subunit 7	LowTissSpecExpdInBrain
BORCS8	MEF2BNB	ENSG00000254901	BLOC-1 related complex subunit 8	LowTissSpecExpdInBrain
BORCS8-MEF2B	MEF2BNB-MEF2B	ENSG00000064489	BORCS8-MEF2B readthrough	LowTissSpecExpdInBrain
BPNT1		ENSG00000162813	"3'(2'), 5'-bisphosphate nucleotidase 1"	LowTissSpecExpdInBrain
BPTF	"FAC1, FALZ, NURF301"	ENSG00000171634	Bromodomain PHD finger transcription factor	LowTissSpecExpdInBrain
BRAF	BRAF1	ENSG00000157764	"B-Raf proto-oncogene, serine/threonine kinase"	LowTissSpecExpdInBrain
BRAT1	"BAAT1, C7orf27, MGC22916"	ENSG00000106009	BRCA1 associated ATM activator 1	LowTissSpecExpdInBrain
BRCA1	"BRCC1, FANCS, PPP1R53, RNF53"	ENSG00000012048	"BRCA1, DNA repair associated"	LowTissSpecExpdInBrain
BRCC3	"BRCC36, C6.1A, CXorf53"	ENSG00000185515	BRCA1/BRCA2-containing complex subunit 3	LowTissSpecExpdInBrain
BRD1	"BRL, BRPF2"	ENSG00000100425	Bromodomain containing 1	LowTissSpecExpdInBrain
BRD2	"BRD2-IT1, D6S113E, FSRG1, KIAA9001, NAT, RING3"	ENSG00000204256	Bromodomain containing 2	LowTissSpecExpdInBrain
BRD3	"KIAA0043, ORFX, RING3L"	ENSG00000169925	Bromodomain containing 3	LowTissSpecExpdInBrain
BRD3OS	"bA374P20.3, FLJ35348, LINC00094, NCRNA00094"	ENSG00000235106	BRD3 opposite strand	LowTissSpecExpdInBrain
BRD4	"CAP, HUNK1, HUNKI, MCAP"	ENSG00000141867	Bromodomain containing 4	LowTissSpecExpdInBrain
BRD7	"BP75, CELTIX1"	ENSG00000166164	Bromodomain containing 7	LowTissSpecExpdInBrain
BRD8	"p120, SMAP"	ENSG00000112983	Bromodomain containing 8	LowTissSpecExpdInBrain
BRD9	FLJ13441	ENSG00000028310	Bromodomain containing 9	LowTissSpecExpdInBrain
BRF1	"BRF, GTF3B, hBRF, TAF3B2, TAF3C, TFIIIB90"	ENSG00000185024	"BRF1, RNA polymerase III transcription initiation factor subunit"	LowTissSpecExpdInBrain
BRF2	"BRFU, FLJ11052, TFIIIB50"	ENSG00000104221	"BRF2, RNA polymerase III transcription initiation factor subunit"	LowTissSpecExpdInBrain
BRI3		ENSG00000164713	Brain protein I3	LowTissSpecExpdInBrain
BRI3BP	"BNAS1, HCCR-2, HCCRBP-3, KG19"	ENSG00000184992	BRI3 binding protein	LowTissSpecExpdInBrain
BRIX1	"BRIX, BXDC2, FLJ11100"	ENSG00000113460	"BRX1, biogenesis of ribosomes"	LowTissSpecExpdInBrain
BRK1	"C3orf10, HSPC300, MDS027"	ENSG00000254999	"BRICK1, SCAR/WAVE actin nucleating complex subunit"	LowTissSpecExpdInBrain
BRMS1	DKFZP564A063	ENSG00000174744	Breast cancer metastasis suppressor 1	LowTissSpecExpdInBrain
BRMS1L	"BRMS1, FLJ39177, MGC11296"	ENSG00000100916	Breast cancer metastasis-suppressor 1 like	LowTissSpecExpdInBrain
BROX	"C1orf58, FLJ32421"	ENSG00000162819	BRO1 domain and CAAX motif containing	LowTissSpecExpdInBrain
BRPF1	BR140	ENSG00000156983	Bromodomain and PHD finger containing 1	LowTissSpecExpdInBrain
BRPF3	KIAA1286	ENSG00000096070	Bromodomain and PHD finger containing 3	LowTissSpecExpdInBrain
BRWD1	"C21orf107, DCAF19, FLJ11315, N143, WDR9"	ENSG00000185658	Bromodomain and WD repeat domain containing 1	LowTissSpecExpdInBrain
BRWD3	"FLJ38568, MRX93"	ENSG00000165288	Bromodomain and WD repeat domain containing 3	LowTissSpecExpdInBrain
BSCL2	"GNG3LG, SPG17"	ENSG00000168000	"BSCL2, seipin lipid droplet biogenesis associated"	LowTissSpecExpdInBrain
BSDC1	"FLJ10276, RP4-811H24.7"	ENSG00000160058	BSD domain containing 1	LowTissSpecExpdInBrain
BSG	"CD147, EMMPRIN, OK"	ENSG00000172270	Basigin (Ok blood group)	LowTissSpecExpdInBrain
BTAF1	"MOT1, TAF-172, TAF(II)170, TAF172, TAFII170"	ENSG00000095564	B-TFIID TATA-box binding protein associated factor 1	LowTissSpecExpdInBrain
BTBD10	"GMRP-1, GMRP1, MGC13007"	ENSG00000148925	BTB domain containing 10	LowTissSpecExpdInBrain
BTBD19		ENSG00000222009	BTB domain containing 19	LowTissSpecExpdInBrain
BTBD2		ENSG00000133243	BTB domain containing 2	LowTissSpecExpdInBrain
BTBD7	"FLJ10648, FUP1"	ENSG00000011114	BTB domain containing 7	LowTissSpecExpdInBrain
BTBD9	"dJ322I12.1, KIAA1880"	ENSG00000183826	BTB domain containing 9	LowTissSpecExpdInBrain
